Date,Price,Open,High,Low,Vol.,Change %
"Nov 02, 2021",1.9772,1.9488,1.9949,1.9348,212.85M,1.46%
"Nov 01, 2021",1.9488,1.9656,2.0178,1.9159,270.39M,-0.82%
"Oct 31, 2021",1.9649,1.9547,2.025,1.9182,244.03M,0.52%
"Oct 30, 2021",1.9547,2.0133,2.0179,1.9271,222.19M,-2.85%
"Oct 29, 2021",2.0121,1.9862,2.0461,1.981,287.00M,1.33%
"Oct 28, 2021",1.9856,1.9107,2.0578,1.9079,546.72M,3.92%
"Oct 27, 2021",1.9107,2.1369,2.155,1.8102,643.95M,-10.59%
"Oct 26, 2021",2.1369,2.1448,2.2006,2.1244,240.93M,-0.36%
"Oct 25, 2021",2.1448,2.1192,2.1767,2.1145,164.12M,1.20%
"Oct 24, 2021",2.1192,2.1655,2.1679,2.093,158.55M,-2.10%
"Oct 23, 2021",2.1646,2.1551,2.1744,2.1337,158.87M,0.45%
"Oct 22, 2021",2.1549,2.1368,2.2094,2.1304,277.28M,0.85%
"Oct 21, 2021",2.1368,2.1884,2.2969,2.1341,445.86M,-2.34%
"Oct 20, 2021",2.188,2.1099,2.2063,2.0919,224.73M,3.66%
"Oct 19, 2021",2.1106,2.1288,2.1571,2.0928,179.35M,-0.85%
"Oct 18, 2021",2.1288,2.1573,2.1739,2.1074,178.76M,-1.31%
"Oct 17, 2021",2.1571,2.1765,2.1883,2.0952,191.46M,-0.89%
"Oct 16, 2021",2.1765,2.2172,2.2492,2.1704,264.83M,-1.79%
"Oct 15, 2021",2.2162,2.1725,2.2419,2.1392,348.05M,2.01%
"Oct 14, 2021",2.1725,2.1877,2.2227,2.1573,203.22M,-0.70%
"Oct 13, 2021",2.1877,2.1171,2.1983,2.082,248.18M,3.34%
"Oct 12, 2021",2.1169,2.1714,2.1714,2.0729,290.96M,-2.51%
"Oct 11, 2021",2.1715,2.1892,2.249,2.1185,242.66M,-0.82%
"Oct 10, 2021",2.1895,2.2679,2.2767,2.1658,189.65M,-3.36%
"Oct 09, 2021",2.2656,2.2363,2.2998,2.2208,147.26M,1.38%
"Oct 08, 2021",2.2348,2.2765,2.3109,2.2198,178.97M,-1.82%
"Oct 07, 2021",2.2762,2.2101,2.3712,2.1521,324.64M,3.00%
"Oct 06, 2021",2.2099,2.233,2.25,2.1125,235.79M,-1.04%
"Oct 05, 2021",2.233,2.1902,2.2569,2.1799,168.24M,1.96%
"Oct 04, 2021",2.19,2.2511,2.2521,2.1512,192.08M,-2.71%
"Oct 03, 2021",2.2511,2.2487,2.3081,2.222,193.75M,0.10%
"Oct 02, 2021",2.2488,2.2554,2.3207,2.1938,274.02M,-0.37%
"Oct 01, 2021",2.2572,2.1162,2.2735,2.0929,328.38M,6.66%
"Sep 30, 2021",2.1164,2.0655,2.1349,2.0515,250.07M,2.45%
"Sep 29, 2021",2.0658,2.037,2.1424,2.022,272.69M,1.43%
"Sep 28, 2021",2.0367,2.1312,2.1716,2.03,289.31M,-4.41%
"Sep 27, 2021",2.1307,2.209,2.2726,2.1293,288.51M,-3.52%
"Sep 26, 2021",2.2084,2.2985,2.2999,2.149,452.94M,-3.92%
"Sep 25, 2021",2.2985,2.278,2.4553,2.2395,649.94M,0.90%
"Sep 24, 2021",2.278,2.3277,2.3436,2.07,656.06M,-2.13%
"Sep 23, 2021",2.3277,2.2577,2.3442,2.1808,355.13M,3.03%
"Sep 22, 2021",2.2591,1.9842,2.2659,1.9691,564.97M,13.92%
"Sep 21, 2021",1.983,2.0684,2.2239,1.9132,795.40M,-4.13%
"Sep 20, 2021",2.0684,2.2827,2.2884,1.9827,-,-9.39%
"Sep 19, 2021",2.2827,2.3719,2.3959,2.2612,222.62M,-3.76%
"Sep 18, 2021",2.3719,2.3476,2.4374,2.3126,193.89M,1.04%
"Sep 17, 2021",2.3476,2.4171,2.4396,2.3227,235.04M,-2.90%
"Sep 16, 2021",2.4176,2.5026,2.5119,2.3821,358.13M,-3.39%
"Sep 15, 2021",2.5025,2.395,2.5811,2.3643,444.87M,4.56%
"Sep 14, 2021",2.3934,2.4029,2.4362,2.324,416.79M,-0.42%
"Sep 13, 2021",2.4036,2.5829,2.5922,2.3112,683.87M,-6.96%
"Sep 12, 2021",2.5833,2.6352,2.7866,2.5061,837.41M,-1.98%
"Sep 11, 2021",2.6354,2.3834,2.7945,2.3699,9.74M,10.62%
"Sep 10, 2021",2.3825,2.5164,2.5848,2.2786,80.92M,-5.31%
"Sep 09, 2021",2.5161,2.4699,2.6202,2.3969,573.39M,1.87%
"Sep 08, 2021",2.4699,2.5047,2.5614,2.2011,785.86M,-1.39%
"Sep 07, 2021",2.5047,2.8323,2.8747,2.0316,1.24B,-11.57%
"Sep 06, 2021",2.8323,2.9106,2.9257,2.7968,324.01M,-2.71%
"Sep 05, 2021",2.9112,2.8302,2.9552,2.824,283.80M,2.86%
"Sep 04, 2021",2.8302,2.9653,2.9653,2.807,128.51M,-4.55%
"Sep 03, 2021",2.9652,2.961,3.0291,2.903,359.20M,0.14%
"Sep 02, 2021",2.961,2.8695,3.0989,2.8368,555.92M,3.17%
"Sep 01, 2021",2.87,2.7693,2.9012,2.7226,331.41M,3.63%
"Aug 31, 2021",2.7693,2.734,2.8789,2.7068,392.37M,1.25%
"Aug 30, 2021",2.7353,2.8527,2.8833,2.7226,390.90M,-4.12%
"Aug 29, 2021",2.8527,2.8464,2.9287,2.7251,396.34M,0.21%
"Aug 28, 2021",2.8467,2.946,2.9492,2.776,400.80M,-3.37%
"Aug 27, 2021",2.9459,2.5295,2.9459,2.4992,638.38M,16.22%
"Aug 26, 2021",2.5347,2.7402,2.7846,2.4701,-,-7.50%
"Aug 25, 2021",2.7402,2.7243,2.7958,2.6124,603.58M,0.58%
"Aug 24, 2021",2.7242,2.9165,2.9463,2.5985,844.24M,-6.55%
"Aug 23, 2021",2.9153,2.7058,2.9701,2.6898,841.88M,7.70%
"Aug 22, 2021",2.7068,2.436,2.7184,2.4337,621.80M,11.12%
"Aug 21, 2021",2.436,2.4553,2.5288,2.387,349.36M,-0.78%
"Aug 20, 2021",2.4553,2.439,2.5794,2.3734,810.94M,0.67%
"Aug 19, 2021",2.439,2.1049,2.4522,2.0464,867.20M,15.61%
"Aug 18, 2021",2.1097,1.9253,2.1611,1.8787,590.03M,9.57%
"Aug 17, 2021",1.9255,2.0729,2.1401,1.9131,437.15M,-7.11%
"Aug 16, 2021",2.0729,2.1669,2.1963,2.0485,509.15M,-4.38%
"Aug 15, 2021",2.1679,2.1888,2.2493,2.0321,718.04M,-0.96%
"Aug 14, 2021",2.1889,2.137,2.251,2.089,1.05B,2.43%
"Aug 13, 2021",2.137,1.8288,2.1475,1.8233,994.02M,16.85%
"Aug 12, 2021",1.8288,1.7976,1.8669,1.6808,69.99M,1.72%
"Aug 11, 2021",1.7979,1.6776,1.8917,1.6703,810.29M,7.22%
"Aug 10, 2021",1.6768,1.4754,1.6994,1.4576,558.57M,13.67%
"Aug 09, 2021",1.4752,1.4262,1.4987,1.3947,322.95M,3.42%
"Aug 08, 2021",1.4264,1.4735,1.4943,1.4077,337.15M,-3.24%
"Aug 07, 2021",1.4741,1.4011,1.4846,1.3958,396.61M,5.21%
"Aug 06, 2021",1.4011,1.3859,1.4243,1.3622,272.05M,1.10%
"Aug 05, 2021",1.3859,1.3759,1.3972,1.339,259.90M,0.72%
"Aug 04, 2021",1.3759,1.3648,1.393,1.3237,325.17M,0.81%
"Aug 03, 2021",1.3648,1.3086,1.3822,1.2626,-,4.29%
"Aug 02, 2021",1.3086,1.3143,1.3485,1.2961,231.98M,-0.58%
"Aug 01, 2021",1.3163,1.3178,1.3868,1.2996,328.16M,-0.02%
"Jul 31, 2021",1.3166,1.3104,1.3321,1.2896,222.18M,0.56%
"Jul 30, 2021",1.3093,1.2837,1.3172,1.2491,280.49M,2.03%
"Jul 29, 2021",1.2832,1.2859,1.2986,1.2588,95.20M,-0.21%
"Jul 28, 2021",1.2859,1.2804,1.3169,1.2586,340.48M,0.43%
"Jul 27, 2021",1.2805,1.2552,1.3151,1.215,418.43M,2.01%
"Jul 26, 2021",1.2552,1.2282,1.3974,1.2226,596.83M,2.20%
"Jul 25, 2021",1.2281,1.216,1.2361,1.1912,181.71M,1.08%
"Jul 24, 2021",1.215,1.2053,1.2237,1.1978,221.74M,0.80%
"Jul 23, 2021",1.2054,1.1856,1.2067,1.147,91.89M,1.65%
"Jul 22, 2021",1.1859,1.1697,1.2051,1.1503,298.36M,1.38%
"Jul 21, 2021",1.1697,1.0545,1.2211,1.0372,464.72M,10.92%
"Jul 20, 2021",1.0545,1.1223,1.1341,1.0211,412.27M,-5.95%
"Jul 19, 2021",1.1212,1.1823,1.1909,1.1167,218.34M,-5.17%
"Jul 18, 2021",1.1823,1.1713,1.2181,1.1682,185.35M,0.94%
"Jul 17, 2021",1.1713,1.1716,1.1943,1.1507,219.88M,-0.03%
"Jul 16, 2021",1.1716,1.2253,1.2435,1.166,252.66M,-4.36%
"Jul 15, 2021",1.225,1.2631,1.2886,1.206,235.34M,-3.02%
"Jul 14, 2021",1.2631,1.265,1.2887,1.1991,263.35M,-0.14%
"Jul 13, 2021",1.2649,1.3147,1.3207,1.2507,206.08M,-3.79%
"Jul 12, 2021",1.3147,1.3479,1.3731,1.2922,-,-2.46%
"Jul 11, 2021",1.3479,1.3353,1.3663,1.3232,128.62M,0.92%
"Jul 10, 2021",1.3357,1.3496,1.3654,1.3183,158.19M,-1.02%
"Jul 09, 2021",1.3495,1.3324,1.3721,1.2903,256.51M,1.28%
"Jul 08, 2021",1.3324,1.4038,1.406,1.3294,243.36M,-5.09%
"Jul 07, 2021",1.4038,1.4163,1.4401,1.4002,214.64M,-0.88%
"Jul 06, 2021",1.4163,1.404,1.4566,1.3924,231.11M,0.87%
"Jul 05, 2021",1.4041,1.4613,1.4614,1.3784,295.33M,-3.94%
"Jul 04, 2021",1.4616,1.4209,1.4943,1.4207,291.73M,2.86%
"Jul 03, 2021",1.4209,1.3955,1.4407,1.3588,337.75M,1.82%
"Jul 02, 2021",1.3955,1.333,1.3956,1.2861,374.91M,4.69%
"Jul 01, 2021",1.333,1.3838,1.384,1.3037,356.70M,-3.67%
"Jun 30, 2021",1.3838,1.3712,1.3984,1.2865,472.70M,0.92%
"Jun 29, 2021",1.3712,1.326,1.4196,1.3195,466.56M,3.51%
"Jun 28, 2021",1.3247,1.3363,1.3491,1.3044,403.52M,-0.81%
"Jun 27, 2021",1.3355,1.2517,1.3478,1.2413,429.63M,6.70%
"Jun 26, 2021",1.2517,1.2547,1.291,1.1985,634.25M,-0.24%
"Jun 25, 2021",1.2547,1.357,1.3958,1.2449,943.95M,-7.54%
"Jun 24, 2021",1.357,1.2506,1.3973,1.2029,446.00M,8.51%
"Jun 23, 2021",1.2506,1.152,1.3065,1.11,963.81M,8.56%
"Jun 22, 2021",1.152,1.1757,1.2625,1.001,462.25M,-2.02%
"Jun 21, 2021",1.1757,1.4269,1.4269,1.168,841.29M,-17.60%
"Jun 20, 2021",1.4269,1.3856,1.4269,1.3066,436.50M,2.98%
"Jun 19, 2021",1.3855,1.4127,1.4405,1.3838,323.50M,-1.94%
"Jun 18, 2021",1.4129,1.4809,1.4926,1.3756,386.36M,-4.60%
"Jun 17, 2021",1.481,1.4843,1.538,1.458,311.28M,-0.16%
"Jun 16, 2021",1.4833,1.5564,1.5747,1.4746,385.43M,-4.70%
"Jun 15, 2021",1.5565,1.5757,1.6104,1.5448,382.73M,-1.23%
"Jun 14, 2021",1.5758,1.5585,1.5934,1.5087,495.19M,1.10%
"Jun 13, 2021",1.5586,1.4773,1.5791,1.4008,594.54M,5.52%
"Jun 12, 2021",1.4772,1.4362,1.4923,1.3578,566.56M,2.87%
"Jun 11, 2021",1.436,1.5315,1.5451,1.4193,442.16M,-6.24%
"Jun 10, 2021",1.5315,1.6249,1.6362,1.5085,420.71M,-5.74%
"Jun 09, 2021",1.6248,1.5821,1.6329,1.484,615.75M,2.50%
"Jun 08, 2021",1.5851,1.5652,1.5946,1.4023,779.94M,1.33%
"Jun 07, 2021",1.5644,1.6753,1.7409,1.5529,65.27M,-6.63%
"Jun 06, 2021",1.6755,1.658,1.705,1.6463,275.21M,1.05%
"Jun 05, 2021",1.6581,1.7091,1.7818,1.6115,473.63M,-2.98%
"Jun 04, 2021",1.709,1.8443,1.8475,1.6119,777.49M,-7.35%
"Jun 03, 2021",1.8445,1.7531,1.8882,1.7171,550.63M,5.22%
"Jun 02, 2021",1.7531,1.7352,1.8025,1.7192,512.66M,1.03%
"Jun 01, 2021",1.7352,1.7399,1.7779,1.657,688.49M,-0.28%
"May 31, 2021",1.74,1.5757,1.749,1.528,694.83M,10.42%
"May 30, 2021",1.5758,1.4015,1.6874,1.3517,954.14M,12.44%
"May 29, 2021",1.4014,1.5123,1.5594,1.3354,709.80M,-7.33%
"May 28, 2021",1.5122,1.6452,1.6753,1.4525,1.01B,-8.08%
"May 27, 2021",1.6452,1.7781,1.7837,1.61,699.09M,-7.47%
"May 26, 2021",1.778,1.552,1.828,1.552,1.09B,14.56%
"May 25, 2021",1.5521,1.5475,1.6484,1.4375,1.05B,0.31%
"May 24, 2021",1.5473,1.315,1.5957,1.2663,1.36B,17.65%
"May 23, 2021",1.3152,1.463,1.5371,1.0526,1.89B,-10.11%
"May 22, 2021",1.4631,1.5476,1.5975,1.3689,1.11B,-5.46%
"May 21, 2021",1.5476,1.8033,1.8661,1.3247,1.51B,-14.18%
"May 20, 2021",1.8033,1.4718,1.9394,1.3324,1.82B,22.53%
"May 19, 2021",1.4717,2.0055,2.0269,1.0231,2.94B,-26.62%
"May 18, 2021",2.0057,2.0313,2.1462,1.9729,798.42M,-1.27%
"May 17, 2021",2.0314,2.3003,2.3259,1.9215,1.49B,-11.69%
"May 16, 2021",2.3003,2.1721,2.4601,2.0167,1.53B,5.91%
"May 15, 2021",2.172,2.0058,2.3727,1.9712,1.83B,8.30%
"May 14, 2021",2.0056,1.9291,2.0392,1.8123,935.48M,3.94%
"May 13, 2021",1.9295,1.5676,1.9697,1.5004,2.05B,23.08%
"May 12, 2021",1.5677,1.7632,1.8192,1.5498,805.11M,-11.10%
"May 11, 2021",1.7635,1.6427,1.7779,1.598,736.26M,7.33%
"May 10, 2021",1.6431,1.7714,1.8226,1.5258,990.41M,-7.17%
"May 09, 2021",1.7699,1.6207,1.8292,1.5765,882.67M,9.21%
"May 08, 2021",1.6207,1.6533,1.6533,1.5623,560.14M,-1.97%
"May 07, 2021",1.6532,1.6477,1.745,1.5287,1.04B,0.32%
"May 06, 2021",1.6478,1.4781,1.6996,1.4292,1.73B,11.49%
"May 05, 2021",1.478,1.29,1.4931,1.29,783.15M,14.66%
"May 04, 2021",1.289,1.2793,1.3074,1.2757,585.18M,-5.37%
"May 03, 2021",1.3622,1.3267,1.3799,1.3215,390.15M,2.68%
"May 02, 2021",1.3266,1.3514,1.3546,1.2952,325.32M,-1.87%
"May 01, 2021",1.3518,1.3521,1.3676,1.3168,317.78M,-0.02%
"Apr 30, 2021",1.3521,1.3069,1.3699,1.2876,459.62M,3.45%
"Apr 29, 2021",1.307,1.3369,1.4103,1.2681,817.53M,-2.24%
"Apr 28, 2021",1.3369,1.3075,1.3485,1.235,575.49M,2.21%
"Apr 27, 2021",1.3079,1.2348,1.3326,1.2263,579.44M,5.95%
"Apr 26, 2021",1.2345,1.0901,1.2499,1.082,713.34M,13.27%
"Apr 25, 2021",1.0899,1.1027,1.146,1.0204,505.26M,-1.11%
"Apr 24, 2021",1.1021,1.1567,1.1961,1.096,813.89M,-4.73%
"Apr 23, 2021",1.1568,1.1462,1.166,0.9438,1.55B,0.92%
"Apr 22, 2021",1.1463,1.2044,1.2787,1.1181,812.88M,-4.83%
"Apr 21, 2021",1.2045,1.2674,1.2864,1.1989,611.42M,-4.96%
"Apr 20, 2021",1.2674,1.1959,1.2811,1.13,794.19M,5.98%
"Apr 19, 2021",1.1959,1.2769,1.3231,1.1724,1.02B,-6.35%
"Apr 18, 2021",1.2769,1.3708,1.3813,1.0791,1.43B,-6.85%
"Apr 17, 2021",1.3709,1.4108,1.4568,1.3589,603.76M,-2.84%
"Apr 16, 2021",1.4109,1.4787,1.518,1.336,901.35M,-4.58%
"Apr 15, 2021",1.4787,1.4518,1.4919,1.4122,794.86M,1.86%
"Apr 14, 2021",1.4517,1.4124,1.5566,1.3547,1.61B,2.78%
"Apr 13, 2021",1.4124,1.3154,1.4367,1.2831,208.73M,7.36%
"Apr 12, 2021",1.3155,1.2633,1.3494,1.2633,873.74M,4.15%
"Apr 11, 2021",1.2631,1.2179,1.2898,1.1999,667.69M,3.71%
"Apr 10, 2021",1.2179,1.2021,1.2509,1.1949,432.91M,1.33%
"Apr 09, 2021",1.2019,1.2187,1.2289,1.1926,277.94M,-1.39%
"Apr 08, 2021",1.2189,1.1724,1.2242,1.1705,394.52M,3.82%
"Apr 07, 2021",1.174,1.2519,1.2891,1.1601,742.13M,-6.22%
"Apr 06, 2021",1.2519,1.2117,1.337,1.1917,1.11B,3.32%
"Apr 05, 2021",1.2117,1.182,1.2251,1.1624,484.02M,2.51%
"Apr 04, 2021",1.1819,1.1633,1.1927,1.1534,370.27M,1.60%
"Apr 03, 2021",1.1633,1.1903,1.2406,1.16,531.51M,-2.26%
"Apr 02, 2021",1.1903,1.1828,1.2438,1.1813,431.79M,0.63%
"Apr 01, 2021",1.1828,1.1915,1.2075,1.173,367.82M,-0.72%
"Mar 31, 2021",1.1913,1.2128,1.2128,1.1565,466.52M,-1.76%
"Mar 30, 2021",1.2126,1.2027,1.2344,1.19,397.50M,0.82%
"Mar 29, 2021",1.2028,1.1897,1.2292,1.1789,401.46M,1.12%
"Mar 28, 2021",1.1895,1.1767,1.2191,1.1674,394.82M,1.08%
"Mar 27, 2021",1.1768,1.2145,1.237,1.1577,474.01M,-3.10%
"Mar 26, 2021",1.2145,1.0964,1.2856,1.0955,1.05B,10.76%
"Mar 25, 2021",1.0964,1.0677,1.1472,1.0485,699.56M,2.45%
"Mar 24, 2021",1.0702,1.1151,1.1635,1.0401,499.18M,-4.14%
"Mar 23, 2021",1.1163,1.103,1.1728,1.082,562.87M,1.17%
"Mar 22, 2021",1.1035,1.1862,1.2076,1.08,611.13M,-7.02%
"Mar 21, 2021",1.1868,1.2005,1.2411,1.1608,514.59M,-1.13%
"Mar 20, 2021",1.2004,1.2958,1.3081,1.2003,658.17M,-7.37%
"Mar 19, 2021",1.2959,1.2313,1.3419,1.1835,1.26B,5.26%
"Mar 18, 2021",1.2312,1.3776,1.4719,1.2247,2.04B,-10.61%
"Mar 17, 2021",1.3774,1.2493,1.4283,1.2045,1.64B,10.26%
"Mar 16, 2021",1.2493,1.0306,1.2632,1.0018,1.77B,21.18%
"Mar 15, 2021",1.031,1.0552,1.0703,1.0011,657.33M,-2.29%
"Mar 14, 2021",1.0551,1.1013,1.1019,1.0551,553.68M,-4.19%
"Mar 13, 2021",1.1013,1.0321,1.188,0.9881,977.08M,6.71%
"Mar 12, 2021",1.0321,1.1243,1.127,1.0298,642.18M,-8.19%
"Mar 11, 2021",1.1242,1.1334,1.139,1.1089,477.61M,-0.79%
"Mar 10, 2021",1.1331,1.1971,1.2069,1.118,626.55M,-5.35%
"Mar 09, 2021",1.1972,1.1185,1.2184,1.1126,898.49M,7.04%
"Mar 08, 2021",1.1185,1.1314,1.178,1.1067,625.53M,-1.19%
"Mar 07, 2021",1.1319,1.1294,1.1444,1.107,445.10M,0.25%
"Mar 06, 2021",1.129,1.1583,1.1816,1.0867,757.08M,-2.52%
"Mar 05, 2021",1.1582,1.1125,1.1957,1.0379,1.31B,4.11%
"Mar 04, 2021",1.1125,1.2144,1.2299,1.0684,1.10B,-8.39%
"Mar 03, 2021",1.2143,1.2245,1.2655,1.209,707.02M,-0.84%
"Mar 02, 2021",1.2246,1.2962,1.299,1.1823,1.10B,-5.52%
"Mar 01, 2021",1.2962,1.3118,1.3441,1.2331,1.61B,-0.88%
"Feb 28, 2021",1.3077,1.3166,1.3585,1.1586,2.49B,-0.68%
"Feb 27, 2021",1.3166,1.2416,1.4841,1.2305,3.07B,6.04%
"Feb 26, 2021",1.2416,1.0751,1.295,0.993,2.73B,15.48%
"Feb 25, 2021",1.0752,1.0486,1.1733,1.0128,1.56B,2.58%
"Feb 24, 2021",1.0481,0.9638,1.0751,0.8996,1.67B,8.73%
"Feb 23, 2021",0.964,1.0973,1.1405,0.8115,2.65B,-12.12%
"Feb 22, 2021",1.0969,1.0998,1.1445,0.8389,2.03B,-0.27%
"Feb 21, 2021",1.0998,1.1156,1.1497,1.075,1.18B,-1.46%
"Feb 20, 2021",1.1161,0.926,1.1971,0.9142,279.64M,20.55%
"Feb 19, 2021",0.9259,0.9137,0.9454,0.8808,839.10M,1.33%
"Feb 18, 2021",0.9138,0.8917,0.9566,0.8917,904.68M,2.47%
"Feb 17, 2021",0.8917,0.8704,0.8971,0.8239,750.02M,2.45%
"Feb 16, 2021",0.8704,0.8599,0.9051,0.8348,929.87M,1.19%
"Feb 15, 2021",0.8602,0.8444,0.9104,0.6891,1.44B,1.87%
"Feb 14, 2021",0.8444,0.9124,0.9187,0.8082,874.61M,-7.32%
"Feb 13, 2021",0.9111,0.9248,0.95,0.8251,993.01M,-1.48%
"Feb 12, 2021",0.9249,0.9293,0.9474,0.868,1.08B,-0.48%
"Feb 11, 2021",0.9293,0.9404,0.9791,0.8668,1.77B,-1.18%
"Feb 10, 2021",0.9404,0.7058,0.9496,0.7058,2.50B,33.23%
"Feb 09, 2021",0.7058,0.6778,0.7119,0.666,1.12B,4.20%
"Feb 08, 2021",0.6774,0.6626,0.7227,0.6339,2.06B,2.24%
"Feb 07, 2021",0.6626,0.6339,0.7067,0.5858,2.60B,4.53%
"Feb 06, 2021",0.6339,0.5387,0.6658,0.5209,2.08B,17.52%
"Feb 05, 2021",0.5393,0.4395,0.5594,0.4366,2.00B,22.71%
"Feb 04, 2021",0.4395,0.4419,0.4496,0.4109,736.38M,-0.53%
"Feb 03, 2021",0.4419,0.4258,0.4484,0.4154,1.10B,3.78%
"Feb 02, 2021",0.4258,0.4084,0.4552,0.3891,2.25B,4.27%
"Feb 01, 2021",0.4083,0.3451,0.423,0.3334,1.32B,18.35%
"Jan 31, 2021",0.345,0.3636,0.3766,0.3382,662.74M,-5.12%
"Jan 30, 2021",0.3636,0.3474,0.3755,0.3373,871.81M,4.61%
"Jan 29, 2021",0.3476,0.3438,0.3679,0.331,1.07B,1.12%
"Jan 28, 2021",0.3437,0.3119,0.3552,0.3046,833.04M,10.19%
"Jan 27, 2021",0.312,0.3435,0.3438,0.3047,761.35M,-9.19%
